,City,Time,Country,Latitude,Longitude,Temperature,Humidity,Cloud Coverage,Wind Speed
1,Yoichi,1516393965,JP,43.19,140.77,21.94,100,32,3.83
2,Saint John,1516392000,CA,45.28,-66.06,23.0,79,75,5.82
3,Bokhan,1516393967,RU,53.15,103.77,-18.16,50,36,2.55
4,San Patricio,1516393968,PY,-26.98,-56.83,80.08,81,48,3.56
5,Cidreira,1516393969,BR,-30.17,-50.22,78.96,63,0,10.38
6,Lebu,1516393969,ET,8.96,38.73,39.9,84,0,3.04
7,Saint-Georges,1516393970,CA,46.12,-70.67,25.23,71,88,5.61
8,Sao Joao da Barra,1516392000,BR,-21.64,-41.05,87.8,52,0,16.11
9,Hobart,1516392000,AU,-42.88,147.33,59.0,87,75,3.36
10,Hilo,1516391820,US,19.71,-155.08,73.4,88,90,5.82
11,Suez,1516393974,EG,29.97,32.54,44.85,86,0,4.0
12,Hermanus,1516393975,ZA,-34.42,19.24,65.5,94,88,10.16
13,Quelimane,1516392000,MZ,-17.88,36.89,78.8,88,40,3.36
14,Torquay,1516393200,GB,50.47,-3.52,37.4,86,40,2.24
15,Vaini,1516393977,IN,15.34,74.49,60.33,72,0,2.48
16,Pangnirtung,1516392000,CA,66.15,-65.72,1.4,54,20,11.1
17,Tazovskiy,1516393978,RU,67.47,78.7,-44.66,0,36,3.22
18,Kapaa,1516391760,US,22.08,-159.32,77.0,83,90,14.99
19,Qaanaaq,1516393980,GL,77.48,-69.36,-8.3,94,0,6.13
20,Awjilah,1516393981,LY,29.14,21.3,43.05,75,20,5.91
21,Yellowknife,1516392000,CA,62.45,-114.38,8.6,84,90,6.93
22,Laguna,1516390980,MX,27.52,-110.01,80.6,22,5,6.93
23,Mataura,1516393984,NZ,-46.19,168.86,73.96,54,56,17.65
24,Cape Town,1516392000,ZA,-33.93,18.42,73.4,69,0,18.34
25,Aykhal,1516393985,RU,65.95,111.51,-57.44,0,8,4.27
26,Punta Arenas,1516392000,CL,-53.16,-70.91,64.4,59,40,32.21
27,Rikitea,1516393987,PF,-23.12,-134.97,79.05,100,68,9.15
28,New Norfolk,1516392000,AU,-42.78,147.06,59.0,87,75,3.36
29,Yellowknife,1516392000,CA,62.45,-114.38,8.6,84,90,6.93
30,Bredasdorp,1516392000,ZA,-34.53,20.04,71.6,78,92,18.34
31,Atuona,1516393989,PF,-9.8,-139.03,79.72,100,64,16.69
32,Bubaque,1516392000,GW,11.28,-15.83,80.6,34,0,4.7
33,Estelle,1516391700,US,32.87,-97.01,59.0,50,40,23.04
34,Iqaluit,1516392000,CA,63.75,-68.52,1.4,64,75,11.41
35,San Cristobal,1516392000,EC,-0.39,-78.55,60.8,63,75,14.99
36,Cherskiy,1516393993,RU,68.75,161.3,-29.99,50,0,4.38
37,Vardo,1516391700,US,39.62,-77.74,55.4,28,1,8.05
38,Ushuaia,1516392000,AR,-54.81,-68.31,66.2,62,40,32.21
39,Nome,1516392900,US,30.04,-94.42,60.8,62,1,10.29
40,Saint-Philippe,1516392600,CA,45.36,-73.48,28.4,86,90,8.05
41,Hobart,1516392000,AU,-42.88,147.33,59.0,87,75,3.36
42,Barrow,1516393971,AR,-38.31,-60.23,83.1,67,12,1.54
43,Blagoyevo,1516393998,RU,63.37,47.92,9.66,70,64,6.85
44,Severo-Kurilsk,1516393999,RU,50.68,156.12,29.73,100,88,18.66
45,Jamestown,1516393794,AU,-33.21,138.6,70.86,76,24,2.37
46,Peresichna,1516393020,UA,50.02,35.98,23.0,92,90,6.71
47,Ushuaia,1516392000,AR,-54.81,-68.31,66.2,62,40,32.21
48,Khatanga,1516394002,RU,71.98,102.47,-27.7,45,64,15.41
49,Ushuaia,1516392000,AR,-54.81,-68.31,66.2,62,40,32.21
50,Jamestown,1516393794,AU,-33.21,138.6,70.86,76,24,2.37
51,Bredasdorp,1516392000,ZA,-34.53,20.04,71.6,78,92,18.34
52,Punta Arenas,1516392000,CL,-53.16,-70.91,64.4,59,40,32.21
53,Washougal,1516391580,US,45.58,-122.35,48.2,70,75,12.75
54,Mataura,1516393984,NZ,-46.19,168.86,73.96,54,56,17.65
55,Atuona,1516393989,PF,-9.8,-139.03,79.72,100,64,16.69
56,Brody,1516394006,UA,50.08,25.14,27.75,89,12,13.85
57,Palimbang,1516392000,PH,14.9,120.78,77.0,83,75,2.24
58,Mariental,1516393200,DE,52.28,10.99,35.6,100,90,6.93
59,Khatanga,1516394002,RU,71.98,102.47,-27.7,45,64,15.41
60,Mataura,1516393984,NZ,-46.19,168.86,73.96,54,56,17.65
61,Nador,1516392000,MA,35.17,-2.93,53.6,100,20,2.24
62,Hilo,1516391820,US,19.71,-155.08,73.4,88,90,5.82
63,Hermanus,1516393975,ZA,-34.42,19.24,65.5,94,88,10.16
64,Atuona,1516393989,PF,-9.8,-139.03,79.72,100,64,16.69
65,Codrington,1516394011,AU,-28.95,153.24,63.61,87,0,5.23
66,Pisco,1516392000,PE,-13.71,-76.2,78.8,61,0,12.75
67,Biu,1516394012,NG,10.61,12.19,59.65,35,0,6.8
68,Ponta do Sol,1516394013,BR,-20.63,-46.0,88.23,27,12,4.79
69,Salinopolis,1516394014,BR,-0.61,-47.36,79.63,100,80,11.1
70,Barrow,1516393971,AR,-38.31,-60.23,83.1,67,12,1.54
71,Marzuq,1516394016,YE,14.4,46.47,39.58,85,0,2.33
72,Sao Filipe,1516394016,CV,14.9,-24.5,71.62,94,0,18.14
73,Hermanus,1516393975,ZA,-34.42,19.24,65.5,94,88,10.16
74,Sao Jose da Coroa Grande,1516394017,BR,-8.9,-35.15,78.91,83,44,8.59
75,Vagur,1516394018,FO,61.47,-6.81,40.48,100,80,3.27
76,Maragogi,1516394019,BR,-9.01,-35.22,78.91,83,44,8.59
77,Abu Samrah,1516394020,SY,35.3,37.18,38.46,87,0,10.65
78,Ponta do Sol,1516394013,BR,-20.63,-46.0,88.23,27,12,4.79
79,Stykkisholmur,1516394021,IS,65.08,-22.73,30.13,100,8,17.09
80,Mataura,1516393984,NZ,-46.19,168.86,73.96,54,56,17.65
81,Vaini,1516393977,IN,15.34,74.49,60.33,72,0,2.48
82,Iqaluit,1516392000,CA,63.75,-68.52,1.4,64,75,11.41
83,Windsor,1516393020,US,42.3,-83.03,37.4,59,1,12.75
84,Jinchang,1516394023,CN,38.52,102.19,3.76,50,0,4.9
85,Jamestown,1516393794,AU,-33.21,138.6,70.86,76,24,2.37
86,Vieira de Leiria,1516392000,PT,39.87,-8.94,50.0,93,0,5.82
87,Yatou,1516392000,CM,3.63,9.81,80.6,94,20,12.77
88,Rosarito,1516392000,CO,4.91,-75.23,77.0,94,75,10.29
89,Ancud,1516394027,CL,-41.87,-73.83,71.8,73,36,7.81
90,Paita,1516392000,PE,-5.09,-81.11,86.0,55,0,13.87
91,Hilo,1516391820,US,19.71,-155.08,73.4,88,90,5.82
92,Havre-Saint-Pierre,1516392000,CA,50.23,-63.6,8.6,60,20,4.7
